id;ipc_text;change_date;bulletin_year;bulletin_nr
10832383;"C23C16/00";2012-08-31;2012;40
10832383;"D02G3/02, C23C16/44, D03D15/00, F02K9/00";2014-12-19;2015;4
5720483;"F16C19/18, F16C33/32, F16H57/02";2006-10-20;2006;47
5720483;"F16C19/18, F16H57/02";2007-03-23;2007;17
5727348;"F03D11/00, F03D3/06, F03D7/06";2006-11-10;2006;50
5747143;"G07D7/12, B41M3/14, G03H1/04, G07D7/14, B42D15/10, G03H1/18";2007-06-08;2007;28
5746241;"G05B19/418, G05B15/02";2007-01-05;2007;6
10817337;"B63B15/00, B63H9/00, B63J3/04, F03D9/00";2012-06-22;2012;30
5720772;"H02P9/00, F03D7/04, F03D9/00";2006-11-17;2006;51
5745406;"C12N1/20, A61K31/739, C07K16/12, G01N33/569, A61K39/102, A61K39/02, A61P31/04, C12P19/04, A61K47/48, A61K39/116, C08B37/00, C07H13/04";2006-12-29;2007;5
5745057;"H02K1/27, H02K15/03, H02K5/04, H02K1/14, H02K7/14, B23Q5/06";2007-04-13;2007;20
10817612;"C04B35/18, C04B35/101";2012-06-01;2012;27
5748042;"F01D15/10";2006-03-24;2006;19
10823267;"F03D9/00, F03D9/02, H05B6/02";2012-07-20;2012;34
10825826;"F03D11/00";2011-10-07;2011;45
10833876;"H01L31/042";2012-08-31;2012;40
10833876;"H01L31/042, F24J2/54";2015-12-04;2016;1
10835905;"F16J15/18, F03D11/02";2012-09-14;2012;42
10817337;"B63B15/00, B63H9/00, B63J3/04, F03D9/00, B63B17/00, B63H13/00, F03D13/20";2016-07-15;2016;33
10839565;"B29C70/06, F03D11/00, B29K105/08, B29L31/08";2012-09-28;2012;44
14786789;"H01R11/30, H01R13/62, F03D13/00";2016-07-22;2016;34
14790146;"F01D25/24, F01D11/14, F01D5/00, F04D27/00, F02C6/08, F04D29/62";2016-04-22;2016;21
10830465;"F03D3/04, F03D3/02, F03D11/00";2012-08-03;2012;36
10837362;"F03D11/02, F03D1/06, F16H3/54";2012-09-21;2012;43
5739534;"F03D1/06, F03D7/02, F03D11/00";2008-01-11;2008;7
5739534;"F03D1/06, F03D7/02";2016-10-28;2016;48
5720132;"F03D7/06, F03D3/06";2007-10-19;2007;47
5730695;"C22C38/00, C22C38/14, C22C38/58";2006-11-24;2006;52
5735262;"H04Q7/38, H04L12/56";2007-01-26;2007;9
10834602;"E02D27/32, E02B3/06, E02B17/00, E02D27/14, E02D27/52, F03D11/04";2012-09-07;2012;41
10825826;"F03D11/00, F03D1/06";2012-08-24;2012;39
10828448;"F03D9/00, F03D11/00, F03D3/02, F03D3/04";2012-08-10;2012;37
10840167;"F28D15/00";2012-09-28;2012;44
14790727;"G01B11/16";2016-07-08;2016;32
14793174;"B29C65/50, F03D1/06, B29C70/84";2016-08-12;2016;37
5730574;"B32B27/18, H05K9/00, H05F3/00, G12B17/02";2007-12-07;2008;2
5745857;"F16C19/18, F16C19/38, F16C19/40, F16C19/46, F16C33/58";2008-01-11;2008;7
10839565;"B29C70/38, // F03D11/00, B29K105/08, B29L31/08";2014-09-12;2014;42
10839565;"B29C70/38, // B29K105/08, B29L31/08";2016-02-19;2016;12
10834602;"E02D27/32, E02B3/06, E02B17/00, E02D27/14, E02D27/52, F03D11/04, E02B17/02, E02D27/42";2014-01-17;2014;8
14790146;"F04D29/42, F04D17/10, F01D25/24, F01D11/14, F01D5/00, F02C6/08, F04D29/62, F04D27/00";2016-11-04;2016;49
14796698;"B29C70/34, B29C70/44, B29C70/54, B29D99/00, F03D1/06";2016-08-19;2016;38
10828448;"F03D9/00, F03D11/00, F03D3/02, F03D3/04, F03D3/06";2014-04-18;2014;21
14785474;"B63B21/00, F03B13/14, B63B21/50";2016-01-22;2016;8
5717539;"F16D55/32, F16D55/224, F16D65/095";2006-10-06;2006;45
5717539;"F16D55/32, F16D55/224, F16D65/095, F16D55/228";2012-04-21;2012;21
10839557;"F03D11/00, F03D1/06";2012-11-09;2012;50
14785680;"F03D5/02";2016-01-22;2016;8
14785680;"F03D5/02, F03D3/02, F03D9/00, F03D3/00, F03D3/04, F03D3/06, F03D80/80, F03D15/00, F03D13/20";2016-11-11;2016;50
10817612;"C25B11/02, C25B13/02, C02F1/461, H01M8/16, C03C10/00";2012-11-23;2012;52
10817612;"F02M31/20, F02M33/08, F02M57/06, F02M57/00, F02M51/06, F02M61/18, F02M61/12, F02M61/16, C03C10/16, C04B35/195, C04B40/00, F02M53/04, F02P23/02, H01B19/00, F02B75/12, C03C4/16, C03C10/00, F01N5/02, F02M21/02";2016-10-28;2016;48
14793535;"F03D13/00";2016-09-09;2016;41
14806171;"F03D7/02, F03D7/04";2016-09-02;2016;40
84111717;"F24J3/00, F24C9/00";1986-02-21;1986;15
5724553;"F03D1/00";2006-12-08;2007;2
5724553;"B64C11/44";2009-09-04;2009;41
5740078;"F03D1/04, F03D7/02";2007-01-05;2007;6
14796698;"B29C70/34, B29C70/44, B29C70/54, B29D99/00, F03D1/06, // B29K105/08, B29K309/08, B29L31/08";2017-04-14;2017;20
5745857;"F16C19/18, F16C19/38, F16C19/40, F16C19/46, F16C33/58, F16C19/50";2011-09-30;2011;44
10819468;"F03G7/04, F03B13/22, F03C1/26";2012-06-29;2012;31
14790361;"B64C31/036, B64C31/06";2016-06-17;2016;29
14792283;"B64C21/02";2016-02-05;2016;10
14792283;"B64C21/02, B64C7/00, B64C39/10, B64C21/00";2016-09-16;2016;42
10834602;"E02D27/32, E02B17/02, E02D27/42, E02B3/06, E02D27/52, E02B17/00, E02D27/14";2016-01-15;2016;7
10836376;"F02M57/06, F02M61/16, F02M61/18, F02M51/06";2012-09-14;2012;42
5725553;"H02K41/00";2006-12-08;2007;2
5725553;"H02K35/02, H02K11/04, H02K7/18";2010-06-25;2010;30
5735313;"H04Q7/38, H04L12/56";2006-12-01;2007;1
14790955;"H02P9/00, H02J1/00";2016-07-22;2016;34
14802821;"H01M8/04, C25B1/04, H01M8/06, H01M16/00, H01M8/18, H01M8/12";2016-08-05;2016;36
10824505;"F03D7/02, F03D7/04";2012-07-27;2012;35
10831172;"F03D9/00, F03D11/00";2012-08-24;2012;39
10831172;"F03D9/00, F03D11/00, F03D11/02";2014-05-02;2014;23
10820586;"H02J3/32, H02J3/38";2012-05-25;2012;26
10821603;"F03D11/00, H02G13/00";2012-07-13;2012;33
10822675;"A01H1/02, A01H5/00";2012-07-13;2012;33
10836376;"F02M57/06, F02M61/16, F02M61/18, F02M51/06, F02M21/02, F02D41/38, F02M57/00, F02P13/00, F02P19/02, F02D35/02, F02D37/02, F02B75/12, F02P5/04, F02D19/06";2016-01-22;2016;8
5735160;"B60K6/12, F01B5/00";2007-01-05;2007;6
5739297;"C08L5/00, A01K85/01, A61K9/70, A61K47/36, C08K5/053";2007-02-23;2007;13
10820947;"B32B23/00";2012-07-06;2012;32
10820947;"B32B3/16, B32B38/18, // F03D1/06, B32B5/18, B32B5/22, B32B37/12";2013-12-13;2014;3
10816756;"H02J7/35, H01M10/44, H01M10/48, H02J1/00, H02J3/38";2012-06-22;2012;30
10816756;"H02J7/35, H01M10/44, H01M10/48, H02J1/00, H02J3/38, H01M10/46, H02J1/14";2016-08-12;2016;37
14795548;"H02J3/16, F03D7/04, H02J3/38, H02J13/00";2016-09-02;2016;40
14807873;"B60L11/00, B60L15/00";2016-03-11;2016;15
14808033;"F01D5/28, F01D5/14, F02C7/00, B32B37/14";2016-03-11;2016;15
14812786;"H02G1/10, H02G15/068";2016-09-16;2016;42
5735313;"H04W8/18";2013-08-30;2013;40
5735313;"H04W76/02, H04W8/18";2015-07-31;2015;36
5750510;"B66B9/02, B66B11/04";2008-01-18;2008;8
5737715;"F15B11/044";2007-01-26;2007;9
10834666;"B23K15/00, B23K15/06, B23K26/20, B23K35/30, B23K31/00, C22C38/00, C22C38/06, C22C38/58";2012-09-07;2012;41
14786795;"F03D13/00";2016-07-22;2016;34
14789153;"F03D7/02, F03D13/00";2016-07-15;2016;33
