id;appeal_date;appeal_nr;phase;date_state_grounds_filed;date_interloc_revision;result;result_date
2742857;2010-12-21;"T2497/10-3204";"opposition";2011-03-21;9999-12-31;"REVOCATION OF THE PATENT";2014-04-30
302114;2006-02-06;"T0715/06-3206";"examination";2006-04-11;9999-12-31;"REMITTAL FOR GRANT";2009-01-12
2012133;2012-02-07;"T0276/12-3204";"opposition";2012-05-14;9999-12-31;"APPEAL OF PROPRIETOR REJECTED";2015-06-17
102020;2012-08-22;"T2457/12-3502";"opposition";2012-11-09;9999-12-31;"MAINTENANCE IN AMENDED FORM";2015-08-05
1927846;2010-12-28;"T2534/10-3204";"opposition";2011-03-01;9999-12-31;"CONTINUATION OF OPPOSITION PROCEDURE";2012-04-23
1978184;2009-03-20;"T0704/09-3502";"opposition";2009-06-08;9999-12-31;"WITHDRAWAL OF APPEAL OF THE PATENT PROPRIETOR";2013-02-19
2703517;2010-03-18;"T0593/10-3204";"opposition";2010-07-05;9999-12-31;"WITHDRAWAL OF APPEAL OF THE OPPONENT";2013-09-03
116047;2007-09-04;"T1471/07-3204";"opposition";9999-12-31;9999-12-31;"";9999-12-31
116047;2007-09-19;"T1471/07-3204";"opposition";2007-11-19;9999-12-31;"WITHDRAWAL OF APPEAL OF THE PATENT PROPRIETOR";2009-10-19
1927846;2014-08-12;"T1711/14-3204";"opposition";2014-11-19;9999-12-31;"MAINTENANCE IN AMENDED FORM";2018-02-23
4739202;2012-05-04;"T1058/12-3204";"opposition";2012-07-04;9999-12-31;"MAINTENANCE IN UNAMENDED FORM";2016-06-16
4739202;2012-05-04;"T1058/12-3204";"opposition";9999-12-31;9999-12-31;"MAINTENANCE IN UNAMENDED FORM";2016-06-16
305969;2008-05-14;"T0960/08-3401";"opposition";2008-05-14;9999-12-31;"APPEAL OF OPPONENT INADMISSIBLE";2011-12-01
2777070;2013-06-26;"T1526/13-3204";"opposition";2013-08-14;9999-12-31;"MAINTENANCE IN AMENDED FORM";2017-12-20
2777070;2013-07-08;"T1526/13-3204";"opposition";2013-09-04;9999-12-31;"MAINTENANCE IN AMENDED FORM";2017-12-20
125115;2012-02-16;"T0549/12-3204";"opposition";9999-12-31;9999-12-31;"WITHDRAWAL OF APPEAL OF THE PATENT PROPRIETOR";2012-04-04
1250001;2008-07-04;"T1981/08-3201";"examination";2008-10-02;9999-12-31;"REMITTAL FOR GRANT";2010-05-07
2396185;2011-06-29;"T1471/11-3207";"opposition";2011-07-26;9999-12-31;"APPEAL OF OPPONENT REJECTED";2014-05-09
926412;2009-10-12;"T0511/10-3204";"examination";2010-01-18;9999-12-31;"APPEAL OF APPLICANT REJECTED";2010-12-03
3025997;2017-09-27;"T2194/17-3502";"opposition";9999-12-31;9999-12-31;"WITHDRAWAL OF APPEAL OF THE PATENT PROPRIETOR";2018-01-03
2025882;2010-12-28;"T2535/10-3204";"opposition";2011-02-28;9999-12-31;"REVOCATION OF THE PATENT";2014-05-07
1124075;2008-01-17;"T1382/08-3401";"examination";2008-01-17;9999-12-31;"CONTINUATION OF EXAMINATION PROCEDURE";2009-03-30
1943572;2011-01-17;"T0143/11-3204";"opposition";2011-03-22;9999-12-31;"APPEAL OF OPPONENT REJECTED";2013-03-06
1113588;2011-09-20;"T2076/11-3503";"opposition";2012-01-23;9999-12-31;"CONTINUATION OF OPPOSITION PROCEDURE";2012-05-21
1113588;2013-06-04;"T1298/13-3503";"opposition";2013-08-21;9999-12-31;"APPEAL OF PROPRIETOR REJECTED";2016-11-08
