id;bulletin_year;bulletin_nr;office;search_type;mailed_date;publn_auth;publn_nr;publn_kind;publn_date;publn_lg
3774927;0;0;"EP";"SUP";2006-06-12;"  ";"";"  ";9999-12-31;"  "
3774927;2004;19;"US";"ISR";9999-12-31;"WO";"2004038892";"A2";2004-05-06;"en"
7846866;2008;24;"EP";"ISR";9999-12-31;"WO";"2008067939";"A2";2008-06-12;"de"
7869887;2009;27;"US";"ISR";9999-12-31;"WO";"2009082407";"A1";2009-07-02;"en"
3790797;2004;11;"EP";"ISR";9999-12-31;"WO";"2004021059";"A1";2004-03-11;"de"
7849771;2008;25;"EP";"ISR";9999-12-31;"WO";"2008072269";"A1";2008-06-19;"en"
3790630;2004;11;"EP";"ISR";9999-12-31;"WO";"2004020745";"A1";2004-03-11;"de"
3799456;2004;27;"EP";"ISR";9999-12-31;"WO";"2004054809";"A1";2004-07-01;"de"
7852845;0;0;"EP";"SUP";2013-01-30;"  ";"";"  ";9999-12-31;"  "
7852845;2008;18;"US";"ISR";9999-12-31;"WO";"2008051455";"A2";2008-05-02;"en"
8000545;0;0;"EP";"SUP";2010-08-26;"  ";"";"  ";9999-12-31;"  "
8000545;2010;39;"EP";"NAT";9999-12-31;"EP";"1944236";"A3";2010-09-29;"  "
3782747;2004;23;"EP";"ISR";9999-12-31;"WO";"2004046582";"A2";2004-06-03;"en"
3793477;0;0;"EP";"SUP";2005-11-11;"  ";"";"  ";9999-12-31;"  "
7866363;0;0;"EP";"SUP";2012-11-12;"  ";"";"  ";9999-12-31;"  "
7866363;2008;26;"ES";"ISR";9999-12-31;"WO";"2008074906";"A1";2008-06-26;"es"
3784374;2004;8;"EP";"ISR";9999-12-31;"WO";"2004015680";"A1";2004-02-19;"en"
7851000;0;0;"EP";"SUP";2013-05-07;"  ";"";"  ";9999-12-31;"  "
7850615;0;0;"EP";"SUP";2015-10-20;"  ";"";"  ";9999-12-31;"  "
7850615;2009;26;"JP";"ISR";9999-12-31;"WO";"2009078073";"A1";2009-06-25;"ja"
3797713;0;0;"EP";"SUP";2006-05-11;"  ";"";"  ";9999-12-31;"  "
