status;status_text
2;"The patent has been limited"
3;"Patent maintained as amended"
4;"Patent revoked"
5;"Opposition rejected"
6;"Opposition procedure closed"
7;"No opposition filed within time limit"
8;"The patent has been granted"
9;"The application has been withdrawn"
10;"The application is deemed to be withdrawn"
11;"The application has been refused"
12;"Grant of patent is intended"
14;"Examination is in progress"
15;"Request for examination was made"
16;"The application has been published"
17;"The international publication has been made"
