id;appln_id;appln_auth;appln_nr;appln_filing_date;filing_lg;status;internat_appln_id;internat_appln_nr;bio_deposit
5750693;16249068;"EP";"05750693";2005-05-20;"en";7;54550529;"WO2005US17739";"N"
5756022;16251531;"EP";"05756022";2005-06-16;"en";7;41205108;"WO2005LV00006";"N"
5748042;16247865;"EP";"05748042";2005-04-23;"de";9;14916319;"WO2005DE00750";"N"
5760945;16253869;"EP";"05760945";2005-07-08;"en";7;17495651;"WO2005EP53283";"N"
5745406;16246673;"EP";"05745406";2005-05-16;"en";7;5803791;"WO2005CA00745";"Y"
8839341;57129805;"EP";"08839341";2008-09-30;"de";10;405798;"WO2008EP63086";"N"
5735160;16241925;"EP";"05735160";2005-04-21;"es";7;18361386;"WO2005ES70048";"N"
5739297;16243816;"EP";"05739297";2005-05-16;"ja";7;38777945;"WO2005JP08857";"N"
5739534;16243934;"EP";"05739534";2005-05-17;"en";8;15563385;"WO2005DK00324";"N"
5766942;16256533;"EP";"05766942";2005-06-24;"en";10;54555084;"WO2005US22370";"N"
5744638;16246338;"EP";"05744638";2005-05-03;"en";10;54547987;"WO2005US15148";"N"
5761316;16254061;"EP";"05761316";2005-07-05;"en";8;23692677;"WO2005GB02612";"N"
5745857;16246861;"EP";"05745857";2005-05-31;"ja";10;38780111;"WO2005JP09993";"N"
5758289;16252681;"EP";"05758289";2005-07-08;"ja";10;38785208;"WO2005JP12684";"N"
5740078;16244226;"EP";"05740078";2005-04-26;"de";10;17482885;"WO2005EP04469";"N"
8850434;57340981;"EP";"08850434";2008-11-13;"en";7;57067281;"WO2008GB03840";"N"
5745057;16246532;"EP";"05745057";2005-05-19;"en";7;5803807;"WO2005CA00761";"N"
5758982;16253005;"EP";"05758982";2005-07-06;"en";11;23692736;"WO2005GB02671";"N"
5737715;16243120;"EP";"05737715";2005-04-15;"en";12;54545541;"WO2005US12646";"N"
5770535;16258195;"EP";"05770535";2005-08-10;"ja";10;38788957;"WO2005JP14650";"N"
8855062;57484005;"EP";"08855062";2008-11-26;"en";14;56412705;"WO2008DK00419";"N"
8857666;57580301;"EP";"08857666";2008-11-30;"en";10;57582639;"WO2008IB55016";"N"
5735262;16241968;"EP";"05735262";2005-04-25;"en";10;18585588;"WO2005FI50132";"N"
5758649;16252858;"EP";"05758649";2005-07-15;"en";8;24042043;"WO2005IB52355";"N"
5768333;16257153;"EP";"05768333";2005-06-23;"en";10;54554889;"WO2005US22173";"N"
5772091;16258947;"EP";"05772091";2005-07-25;"en";7;5804198;"WO2005CA01168";"N"
5763076;16254869;"EP";"05763076";2005-06-30;"de";7;17495477;"WO2005EP53102";"N"
5770177;16258008;"EP";"05770177";2005-07-08;"de";7;17485761;"WO2005EP07419";"N"
5746241;16246985;"EP";"05746241";2005-05-05;"en";7;54548672;"WO2005US15848";"N"
5763039;16254851;"EP";"05763039";2005-06-28;"es";14;18361017;"WO2005ES00367";"N"
8840383;57130847;"EP";"08840383";2008-10-10;"fr";7;56470307;"WO2008EP08566";"N"
8845664;57222706;"EP";"08845664";2008-11-03;"de";10;56433280;"WO2008DE01781";"N"
8839186;57129650;"EP";"08839186";2008-10-16;"es";7;57153478;"WO2008IB54249";"N"
8858136;57580771;"EP";"08858136";2008-12-05;"de";14;56617877;"WO2008DE02042";"N"
5763634;16255136;"EP";"05763634";2005-07-07;"en";10;18585218;"WO2005FI00321";"N"
