id;bulletin_year;bulletin_nr;publn_auth;publn_nr;publn_kind;publn_date;publn_lg
5702884;2006;32;"WO";"2006082479";"A1";2006-08-10;"en"
5702884;2007;43;"EP";"1846657";"A1";2007-10-24;"en"
1810706;2003;4;"EP";"1278282";"A1";2003-01-22;"en"
1811201;2002;25;"EP";"1215809";"A2";2002-06-19;"de"
1811159;2003;23;"EP";"1316866";"A1";2003-06-04;"en"
1811159;2006;22;"EP";"1316866";"B1";2006-05-31;"en"
8784420;2009;11;"WO";"2009030228";"A1";2009-03-12;"en"
8784420;2010;40;"EP";"2234790";"A1";2010-10-06;"en"
1450015;2002;10;"EP";"1184626";"A1";2002-03-06;"fr"
1911394;2001;32;"WO";"0157396";"A2";2001-08-09;"de"
1811201;2004;21;"EP";"1215809";"A3";2004-05-19;"  "
1811201;2005;12;"EP";"1215809";"B1";2005-03-23;"de"
5706366;2005;33;"WO";"2005075843";"A1";2005-08-18;"en"
5706366;2006;42;"EP";"1711720";"A1";2006-10-18;"en"
5710945;2005;35;"WO";"2005080750";"A1";2005-09-01;"en"
5710945;2006;45;"EP";"1718842";"A1";2006-11-08;"en"
1610082;2002;6;"EP";"1178007";"A1";2002-02-06;"en"
1810898;2003;12;"EP";"1293657";"A1";2003-03-19;"de"
5706002;2005;32;"WO";"2005072258";"A2";2005-08-11;"en"
5706002;2006;45;"EP";"1718870";"A2";2006-11-08;"en"
1660115;2002;1;"EP";"1167818";"A2";2002-01-02;"en"
1660115;2004;1;"EP";"1167818";"A3";2004-01-02;"  "
1810688;2003;3;"EP";"1276224";"A1";2003-01-15;"de"
1850089;2002;49;"EP";"1262678";"A2";2002-12-04;"en"
1420091;2002;42;"EP";"1249692";"A1";2002-10-16;"fr"
8780376;2008;43;"WO";"2008127751";"A2";2008-10-23;"en"
8791505;2009;10;"WO";"2009028278";"A1";2009-03-05;"ja"
8791505;2010;17;"EP";"2180209";"A1";2010-04-28;"en"
1420061;2001;38;"EP";"1134314";"A1";2001-09-19;"fr"
1420061;2004;37;"EP";"1134314";"B1";2004-09-08;"fr"
1810083;2002;31;"EP";"1227200";"A1";2002-07-31;"en"
