id;change_date;bulletin_year;bulletin_nr;prior_seq_nr;prior_kind;prior_auth;prior_nr;prior_date
2722230;2003-11-28;2004;3;1;"al";"DE";"2001114431";2001-03-23
2722230;2003-11-28;2004;3;2;"al";"DE";"2001126049";2001-05-29
4007496;2004-10-01;2004;47;1;"al";"DE";"2003121566";2003-05-14
4013146;2004-10-22;2004;50;1;"al";"DE";"2003125821";2003-06-07
2724296;2003-12-19;2004;6;1;"al";"DE";"2001119986";2001-04-23
5776813;2007-05-11;2007;24;1;"al";"JP";"20040258182";2004-09-06
949353;2002-05-31;2002;29;1;"al";"DE";"1999146899";1999-09-30
4004427;2005-01-21;2005;10;1;"al";"JP";"20030309620";2003-09-02
2724233;2003-11-21;2004;2;1;"al";"DE";"2001118121";2001-04-11
4004743;2004-08-13;2004;40;1;"al";"DE";"2003114200";2003-03-28
5770535;2007-05-11;2007;24;1;"al";"JP";"20040234148";2004-08-11
8707451;2009-10-09;2009;46;1;"al";"DE";"20071005642";2007-01-31
4008058;2004-08-27;2004;42;1;"al";"CN";"2003245201U";2003-04-10
4011233;2004-12-31;2005;7;1;"al";"JP";"20030292404";2003-08-12
5770177;2007-03-02;2007;14;1;"al";"DE";"20041033680";2004-07-09
8711590;2009-10-02;2009;45;1;"al";"JP";"20070041749";2007-02-22
6833219;2008-07-11;2008;33;1;"al";"JP";"20050343701";2005-11-29
9757653;2011-04-01;2011;18;1;"al";"ES";"20080001706";2008-06-06
4010856;2004-09-24;2004;46;1;"al";"US";"20030430318";2003-05-07
9753562;2011-02-25;2011;13;1;"al";"DK";"20080000747";2008-05-30
9756456;2011-07-01;2011;31;1;"al";"EP";"20080020580";2008-11-26
12002862;2012-11-13;2012;46;1;"al";"DE";"201110100981";2011-05-10
9752726;2011-07-01;2011;31;1;"al";"DE";"20081053605";2008-10-17
9753109;2012-01-20;2012;8;1;"al";"DE";"20091017531";2009-04-17
4004427;2005-01-21;2005;10;2;"al";"JP";"20030309623";2003-09-02
9753013;2011-07-01;2011;31;1;"al";"DK";"20080001485";2008-10-29
949294;2002-06-14;2002;31;1;"al";"DE";"1999150620";1999-10-20
953263;2001-06-01;2001;29;1;"al";"FR";"19990009551";1999-07-22
6830887;2008-06-20;2008;30;1;"al";"ES";"20050002577";2005-10-21
6830887;2008-06-20;2008;30;2;"al";"ES";"20060002614";2006-10-16
6837095;2008-06-27;2008;31;1;"al";"US";"20050273166";2005-11-14
10795225;2012-09-21;2012;43;1;"al";"DE";"20091059671";2009-12-19
954405;2002-05-03;2002;25;1;"al";"DK";"19990001180";1999-08-25
9753168;2011-07-01;2011;31;1;"al";"GB";"20080019971";2008-10-31
2726242;2004-01-24;2004;11;1;"al";"DE";"2001124268";2001-05-18
8709588;2009-12-04;2010;1;1;"al";"GB";"20070005537";2007-03-22
6831652;2008-07-25;2008;35;1;"al";"IT";"2005BO00745";2005-12-06
9755919;2011-08-26;2011;39;1;"al";"GB";"20080021965";2008-12-02
10795029;2012-08-17;2012;38;1;"al";"FI";"20090006161";2009-11-09
10797994;2012-09-14;2012;42;1;"al";"DE";"20091057449";2009-12-09
2727727;2004-01-19;2004;10;1;"al";"GB";"20010013347";2001-06-01
9752886;2012-03-16;2012;16;1;"al";"GB";"20090006713";2009-04-20
2722216;2003-11-28;2004;3;1;"al";"DE";"2001117212";2001-04-06
2724088;2004-03-05;2004;17;1;"al";"CN";"2001110573";2001-04-12
2724057;2003-11-28;2004;3;1;"al";"US";"20010282500P";2001-04-10
2724057;2003-11-28;2004;3;2;"al";"US";"20010988643";2001-11-20
954601;2002-05-31;2002;29;1;"al";"DE";"1999148198";1999-10-06
4005102;2004-07-30;2004;38;1;"al";"DE";"2003110708";2003-03-10
4733706;2006-02-10;2006;13;1;"al";"NO";"20030002295";2003-05-21
4737943;2006-02-24;2006;15;1;"al";"US";"20030486465P";2003-07-14
9752461;2011-09-16;2011;42;1;"al";"GB";"20080023555";2008-12-24
9760192;2011-05-27;2011;26;1;"al";"FR";"20080005931";2008-10-24
8711042;2009-10-23;2009;48;1;"al";"JP";"20070030265";2007-02-09
8711042;2009-10-23;2009;48;2;"al";"JP";"20070340010";2007-12-28
6833036;2008-08-15;2008;38;1;"al";"JP";"20050374801";2005-12-27
10796391;2012-09-28;2012;44;1;"al";"EP";"20090180341";2009-12-22
12007480;2013-06-18;2013;25;1;"al";"DE";"201110121434";2011-12-16
13186326;2014-04-01;2014;14;1;"al";"GB";"20120017482";2012-10-01
9753124;2011-10-28;2011;48;1;"al";"DE";"20091005960";2009-01-23
9755898;2011-07-01;2011;31;1;"al";"DK";"20080001660";2008-11-25
4012510;2004-10-29;2004;51;1;"al";"DE";"2003126637";2003-06-11
5773221;2007-05-11;2007;24;1;"al";"GB";"20040017618";2004-08-09
9757019;2011-04-22;2011;21;1;"al";"CA";"20082633876";2008-06-05
10794880;2012-09-21;2012;43;1;"al";"DE";"20091059669";2009-12-19
4737558;2006-03-24;2006;19;1;"al";"AU";"20030903645";2003-07-11
6116751;2006-12-22;2007;4;1;"al";"DE";"20051034621";2005-07-19
4004906;2004-07-30;2004;38;1;"al";"DE";"2003110639";2003-03-10
6836483;2008-06-20;2008;30;1;"al";"US";"20050270403";2005-11-07
4007901;2004-08-27;2004;42;1;"al";"DE";"2003116004";2003-04-07
8709321;2009-09-25;2009;44;1;"al";"FI";"20070005102";2007-02-14
9757323;2011-01-28;2011;9;1;"al";"DE";"20081028213";2008-06-06
10798924;2012-10-26;2012;48;1;"al";"US";"20100942088";2010-11-09
