id;set_seq_nr;bulletin_year;bulletin_nr;type;seq_nr;country
13167112;2;2014;9;"A";2;"RO"
11726665;2;2013;40;"A";1;"NL"
12152566;2;0;0;"A";2;"HU"
9730599;3;2016;35;"A";2;"MC"
12152566;1;2013;31;"A";2;"IT"
8870460;1;2010;39;"A";2;"CY"
4292801;1;2006;22;"A";2;"RO"
4292801;3;2017;4;"A";5;"TR"
9764098;2;2014;10;"A";2;"LU"
4292801;3;2017;4;"A";3;"MC"
10814644;3;2016;18;"A";4;"AT"
9730599;4;2017;29;"A";2;"EE"
9730599;2;2014;10;"A";2;"CZ"
99929583;2;0;0;"A";1;"FR"
98913566;2;2001;32;"A";1;"DK"
8102677;2;0;0;"A";1;"GB"
9730599;3;2016;35;"A";2;"SI"
16156238;1;2017;34;"A";2;"FI"
8870460;1;2010;39;"A";2;"FI"
12152566;2;0;0;"A";2;"CZ"
9744485;2;2014;9;"A";2;"IE"
8870460;1;2010;39;"A";2;"PL"
7076134;3;2012;11;"A";1;"RO"
13167112;3;0;0;"A";2;"CY"
13167112;2;2014;9;"A";2;"PT"
94810654;4;1999;9;"A";1;"LI"
1610082;2;0;0;"A";2;"MC"
79301012;1;1980;8;"A";1;"GB"
94810654;4;1999;9;"A";1;"ES"
11726665;1;2013;7;"A";1;"BE"
9744485;2;2014;9;"A";2;"SI"
98908040;3;0;0;"A";1;"LI"
13167112;2;2014;9;"A";2;"GR"
12152566;1;2013;31;"A";2;"MT"
9764098;4;0;0;"A";2;"DK"
13167112;3;0;0;"A";2;"PL"
8870460;3;2014;9;"A";2;"MT"
9730599;2;2014;10;"A";2;"CH"
8075047;3;2010;49;"A";1;"GR"
81890064;1;1981;42;"A";1;"CH"
94810654;4;1999;9;"A";1;"IE"
7104727;3;0;0;"A";1;"DK"
16156238;1;2017;34;"A";2;"RO"
9154478;1;2009;42;"A";1;"DK"
13167112;3;0;0;"A";2;"SK"
6425372;2;2008;19;"A";1;"EE"
7104727;2;2008;38;"A";1;"DE"
8870460;3;2014;9;"A";2;"IT"
94810654;5;0;0;"A";1;"FR"
98908040;3;0;0;"A";1;"DK"
