id;bulletin_year;bulletin_nr;licensee_seq_nr;licensee_country
8715664;2014;30;"03  01";"LU"
5773954;2008;34;"01";"SI"
8715664;2014;30;"03  01";"NL"
10742603;2014;9;"01  01";"LT"
8701733;2012;6;"01";"TR"
3405133;2005;3;"01";"PT"
10742603;2013;29;"01";"NL"
4727186;2008;2;"01  00";"ES"
15794271;2018;21;"01  00";"SM"
5766122;2010;42;"01";"CY"
11719360;2013;25;"01";"PL"
5000275;2008;34;"01";"CH"
11767374;2015;24;"01  01";"ES"
4727186;2008;2;"01  00";"MC"
10788117;2013;25;"01";"FI"
9009059;2014;13;"01";"LU"
10742603;2013;29;"01";"BG"
9735221;2013;25;"01";"RO"
11767374;2015;24;"01  01";"AT"
5766122;2010;52;"02";"ES"
11719360;2013;25;"01";"SK"
8715664;2014;30;"01  01";"ES"
11731468;2013;25;"01";"SM"
11804640;2015;24;"01  01";"NO"
8715664;2014;30;"01  01";"MC"
6076187;2009;36;"01";"CY"
8715664;2014;30;"03  01";"PL"
9737113;2013;25;"01";"ES"
8715664;2014;30;"01  01";"MT"
5796256;2010;45;"01  01";"IE"
11719360;2013;25;"01";"FR"
6755831;2008;34;"01";"LV"
7705633;2008;34;"01";"HU"
8776077;2013;25;"01";"CH"
7705633;2008;34;"01";"EE"
11703242;2013;25;"01";"ES"
10788117;2013;25;"01";"LV"
8776077;2013;25;"01";"IT"
9737113;2013;25;"01";"LU"
8715664;2011;23;"01  01";"GB"
10742603;2013;29;"01";"LU"
8715664;2014;30;"02  01";"GB"
11767374;2015;24;"01  01";"SI"
3405133;2005;3;"01";"CY"
5773954;2008;34;"01";"ES"
5766122;2010;52;"02";"MC"
6755831;2008;34;"01";"IT"
14837373;2018;17;"01";"IE"
8715664;2011;23;"01  01";"HR"
8715664;2014;30;"02  01";"NO"
9737113;2013;25;"01";"SE"
5773954;2008;34;"01";"MC"
11719360;2013;25;"01";"AL"
11804640;2015;24;"01  01";"MK"
9737113;2013;25;"01";"MC"
4793855;2009;33;"01";"GR"
3405133;2005;3;"01";"BG"
8715664;2014;30;"03  01";"SE"
9009059;2014;13;"01";"NL"
9290794;2013;40;"01";"GR"
8776077;2013;25;"01";"HU"
5796256;2010;45;"01  01";"BE"
5796256;2010;45;"01  01";"IT"
5773954;2008;34;"01";"SE"
5766122;2010;52;"01";"IS"
82200582;0;0;"01  00";"GB"
8715664;2014;30;"03  01";"IS"
5796256;2010;45;"01  01";"DK"
5000275;2008;34;"01";"FI"
5766122;2010;52;"02";"BG"
11290434;2013;40;"01";"NO"
9737113;2013;25;"01";"TR"
5766122;2010;52;"01";"LT"
15794271;2018;21;"01  00";"PL"
5766122;2010;42;"01";"PT"
5766122;2010;52;"02";"LT"
8715664;2011;23;"01  01";"LT"
6841815;2009;8;"01  01";"NL"
8715664;2011;23;"01  01";"SI"
8715664;2014;30;"01  01";"DK"
11804640;2015;24;"01  01";"TR"
10788117;2013;25;"01";"CY"
8776077;2013;25;"01";"ES"
11804640;2015;24;"01  01";"LT"
6755831;2008;34;"01";"IS"
11710901;2013;17;"01  01";"NL"
10742603;2013;29;"01";"SK"
8701733;2012;6;"01";"CZ"
5766122;2010;52;"01";"HU"
8715664;2014;30;"02  01";"LV"
9737113;2013;25;"01";"FR"
1111524;2002;37;"01  00";"LI"
5766122;2010;52;"02";"IT"
13892077;2016;17;"01";"LU"
4727186;2008;2;"01  00";"LU"
9009059;2014;13;"01";"PT"
11731468;2013;25;"01";"HU"
4793855;2009;33;"01";"ES"
8776077;2013;25;"01";"SI"
10742603;2013;29;"01";"FR"
6841815;2009;8;"01  01";"LU"
8776077;2013;25;"01";"LT"
5766122;2010;42;"01";"BG"
5796256;2010;45;"01  01";"LT"
9290794;2013;40;"01";"TR"
8776077;2013;25;"01";"HR"
11710901;2013;17;"01  01";"HU"
6841815;2009;8;"01  01";"FR"
14837373;2018;17;"01";"ES"
5766122;2010;52;"02";"IE"
6076187;2009;36;"01";"SE"
8715664;2014;30;"02  01";"CZ"
13892077;2016;17;"01";"IE"
5766122;2010;52;"01";"GB"
9290794;2013;40;"01";"AT"
11290434;2013;40;"01";"DK"
5766122;2010;52;"02";"SE"
11290434;2013;40;"01";"CZ"
4793855;2009;33;"01";"NL"
10788117;2013;25;"01";"MK"
5000115;2008;34;"01";"BG"
5000275;2008;34;"01";"FR"
4447286;2006;32;"01  00";"CH"
11710901;2013;17;"01  01";"CZ"
5000275;2008;34;"01";"DE"
4727187;2008;2;"01  00";"FR"
5000115;2008;34;"01";"RO"
9009059;2014;13;"01";"SE"
15794271;2018;21;"01  00";"SK"
11767374;2015;24;"01  01";"MC"
5766122;2010;52;"02";"DK"
7705633;2008;34;"01";"CZ"
9785200;2013;25;"01";"IS"
11290434;2013;40;"01";"LV"
9735221;2013;25;"01";"IT"
10788117;2013;25;"01";"LT"
8715664;2014;30;"03  01";"GB"
9290794;2013;40;"01";"HR"
82200582;0;0;"01  00";"FR"
8715664;2014;30;"01  01";"HR"
4793855;2009;33;"01";"SI"
11804640;2015;24;"01  01";"IE"
5766122;2010;42;"01";"PL"
4447286;2006;32;"01  00";"LU"
9785200;2013;25;"01";"FI"
11804640;2015;24;"01  01";"CZ"
11804640;2015;24;"01  01";"CH"
11703242;2013;25;"01";"GR"
11731468;2013;25;"01";"NO"
9735221;2013;25;"01";"SK"
9785200;2013;25;"01";"BE"
11710901;2013;17;"01  01";"GB"
11710901;2013;17;"01  01";"MK"
9737113;2013;25;"01";"GB"
7705633;2008;34;"01";"DK"
6076187;2009;36;"01";"FR"
11767374;2015;24;"01  01";"EE"
11290434;2013;40;"01";"RO"
4727188;2008;2;"01  00";"BE"
9009059;2014;13;"01";"TR"
5000115;2008;34;"01";"GR"
8715664;2014;30;"01  01";"SI"
8715664;2011;23;"01  01";"TR"
11719360;2013;25;"01";"SE"
9290794;2013;40;"01";"LI"
4727188;2008;2;"01  00";"CH"
6076187;2009;36;"01";"LU"
8715664;2011;23;"01  01";"AT"
4727187;2008;2;"01  00";"FI"
5773954;2008;34;"01";"IE"
8715664;2014;30;"03  01";"FR"
4447286;2006;32;"01  00";"DE"
11731468;2013;25;"01";"CY"
9725403;2013;25;"01";"GR"
9009058;2014;13;"01";"DE"
10742603;2013;29;"01";"SM"
15794271;2018;21;"01  00";"NL"
8701733;2012;6;"01";"AT"
9009058;2014;13;"01";"MK"
14837373;2018;17;"01";"MK"
11767374;2015;24;"01  01";"TR"
8715664;2014;30;"01  01";"BE"
4447286;2006;32;"01  00";"GB"
82200582;0;0;"01  00";"DE"
11703242;2013;25;"01";"SI"
6841815;2009;8;"01  01";"GB"
