id;bulletin_year;bulletin_nr;date_type;event_date;cause_interruption;converted_to_country
2018953;0;0;"FEXRRQ";2006-03-20;"NA";"  "
2018953;2004;34;"RQEXAM";2004-06-17;"NA";"  "
2018953;2007;40;"OPPNFI";2007-07-26;"NA";"  "
2020336;0;0;"FEXRRQ";2004-06-18;"NA";"  "
2020336;2004;16;"RQEXAM";2004-02-16;"NA";"  "
2020336;2006;26;"OPPNFI";2006-04-21;"NA";"  "
2018506;0;0;"FEXRRQ";2003-01-30;"NA";"  "
2018506;2003;12;"RQEXAM";2002-11-12;"NA";"  "
2018506;2005;40;"OPPNFI";2005-07-14;"NA";"  "
2019510;2003;27;"RQEXAM";2003-04-26;"NA";"  "
2019510;2005;36;"DWDRWN";2005-03-01;"NA";"  "
2021275;0;0;"FEXRRQ";2004-06-15;"NA";"  "
2021798;0;0;"FEXRRQ";2005-04-29;"NA";"  "
2021798;0;0;"PMNTAM";2014-07-09;"NA";"  "
2021798;2003;33;"RQEXAM";2003-06-16;"NA";"  "
5257289;0;0;"FEXRRQ";2007-01-25;"NA";"  "
5257289;2007;6;"RQEXAM";2006-12-21;"NA";"  "
5290564;0;0;"FEXRRQ";2006-07-26;"NA";"  "
2020932;0;0;"FEXRRQ";2006-12-12;"NA";"  "
2020932;2006;44;"RQEXAM";2006-09-16;"NA";"  "
2020932;2007;41;"DWDRWN";2007-04-24;"NA";"  "
2025947;0;0;"FEXRRQ";2008-01-17;"NA";"  "
2025947;2007;42;"RQEXAM";2007-08-31;"NA";"  "
2025947;2010;33;"OPPNFI";2010-06-10;"NA";"  "
10251521;0;0;"FEXRRQ";2014-07-21;"NA";"  "
10251521;2011;9;"RQEXAM";2010-09-24;"NA";"  "
10251521;2016;27;"OPPNFI";2016-05-02;"NA";"  "
2021275;2004;20;"RQEXAM";2004-03-10;"NA";"  "
2021275;2010;2;"OPPNFI";2009-11-05;"NA";"  "
5255846;0;0;"FEXRRQ";2006-10-25;"NA";"  "
2025716;0;0;"FEXRRQ";2006-12-28;"NA";"  "
2025716;2003;21;"RQEXAM";2002-11-15;"NA";"  "
2025716;2014;14;"OPPNFI";2014-01-27;"NA";"  "
5290564;2006;14;"RQEXAM";2006-02-06;"NA";"  "
5290564;2008;9;"DWDRWN";2007-09-07;"NA";"  "
5703428;2006;40;"RQEXAM";2006-07-13;"NA";"  "
2020642;0;0;"FEXRRQ";2004-07-06;"NA";"  "
2020642;2003;41;"RQEXAM";2003-07-04;"NA";"  "
2020642;2007;33;"OPPNFI";2007-06-07;"NA";"  "
2028454;0;0;"FEXRRQ";2004-04-16;"NA";"  "
2028454;2004;12;"RQEXAM";2003-12-17;"NA";"  "
2028454;2005;18;"DWDRWN";2004-10-27;"NA";"  "
5290734;0;0;"FEXRRQ";2006-07-10;"NA";"  "
5290734;2005;41;"RQEXAM";2005-04-09;"NA";"  "
5290734;2011;28;"OPPNFI";2011-05-06;"NA";"  "
10290647;0;0;"FEXRRQ";2013-08-30;"NA";"  "
10290647;2013;2;"RQEXAM";2012-11-30;"NA";"  "
10290647;2014;28;"DWDRWN";2014-01-10;"NA";"  "
2024255;0;0;"FEXRRQ";2003-09-22;"NA";"  "
2024255;2003;35;"RQEXAM";2003-06-24;"NA";"  "
2024255;2007;13;"OPPNFI";2007-01-22;"NA";"  "
5255846;2006;46;"RQEXAM";2006-09-29;"NA";"  "
5255846;2016;26;"OPPNFI";2016-04-25;"NA";"  "
7842393;0;0;"FEXRRQ";2014-03-12;"NA";"  "
7832483;0;0;"FEXRRQ";2012-07-27;"NA";"  "
7832483;2009;48;"RQEXAM";2009-07-15;"NA";"  "
7832483;2014;40;"OPPNFI";2014-07-24;"NA";"  "
2026383;0;0;"FEXRRQ";2010-06-08;"NA";"  "
2026383;2004;14;"RQEXAM";2003-12-22;"NA";"  "
2026383;2013;16;"OPPNFI";2013-02-12;"NA";"  "
5292646;0;0;"FEXRRQ";2007-11-23;"NA";"  "
5292646;0;0;"PMNTAM";2012-07-11;"NA";"  "
