id;child_id;relation_type
124905;2018038;"division"
931434;5004419;"division"
1201642;4019895;"division"
1300965;10004563;"division"
914063;10011184;"division"
2703517;4077940;"division"
2785341;5102275;"division"
2794497;5110457;"division"
3008602;10182943;"division"
4253160;10185052;"division"
4739009;10004311;"division"
5102273;10156260;"division"
2731549;10010707;"division"
3795782;11153029;"division"
4290572;5290564;"division"
6804445;16153742;"division"
3025997;10180851;"division"
3767480;9177376;"division"
3799486;10174153;"division"
5790091;11173378;"division"
4780410;10009632;"division"
5715935;14002196;"division"
5853077;10015752;"division"
8160576;11161322;"division"
102175;3026849;"division"
1917054;4027646;"division"
1962807;6123062;"division"
1962807;10180513;"division"
2748821;8154907;"division"
3747843;14168604;"division"
4104405;10174991;"division"
4104405;14183764;"division"
2004883;4005645;"division"
2748656;4104405;"division"
2748656;10174991;"division"
2748656;14183764;"division"
2706761;7123090;"division"
3290811;14001217;"division"
3290811;14178276;"division"
3290811;14178278;"division"
2740497;10180650;"division"
2777070;4016488;"division"
2777070;7120659;"division"
2777070;16164605;"division"
1965250;6100528;"division"
3711902;10180849;"division"
4737297;12196559;"division"
6842801;12153962;"division"
306911;3079097;"division"
306911;4076028;"division"
306911;4077350;"division"
306911;4077351;"division"
990911;6020536;"division"
1943176;6003456;"division"
2774638;9165852;"division"
2774638;10183789;"division"
2445171;5028723;"division"
2445171;8157382;"division"
2445171;10182132;"division"
2751218;7075365;"division"
6101208;10183891;"division"
6818444;10161312;"division"
9155362;12164469;"division"
9170773;12176736;"division"
2012133;5101832;"division"
4078197;8005284;"division"
4078197;10179751;"division"
4252073;11178096;"division"
5109416;8165143;"division"
5109416;12175268;"division"
5700553;12185033;"division"
5708811;11152271;"division"
4728181;9152358;"division"
4728181;10183766;"division"
4764463;12006627;"division"
4764463;17181879;"division"
1109349;8011211;"division"
1109349;8011212;"division"
4018496;17150086;"division"
5447237;9162627;"division"
6842801;12153963;"division"
7007402;8014908;"division"
7251453;17183737;"division"
7251653;12179564;"division"
1113588;6009502;"division"
1113588;9156805;"division"
3251394;7075883;"division"
4700534;13163789;"division"
6822627;11177901;"division"
7114663;10184311;"division"
8165143;12175268;"division"
10802284;15176055;"division"
4753821;9155489;"division"
4753821;9155491;"division"
4753821;10184217;"division"
5000115;10180542;"division"
2760505;10162892;"division"
3751403;13173648;"division"
3751403;13173653;"division"
3751403;13173654;"division"
970307;6115518;"division"
1927846;3008602;"division"
1927846;10182943;"division"
3735483;6120999;"division"
960619;5108809;"division"
960619;10182942;"division"
1969583;7122327;"division"
4251912;9174593;"division"
2799741;9178649;"division"
3253687;6007089;"division"
4013503;12150743;"division"
4013503;12150745;"division"
3735483;10185910;"division"
3735483;10185917;"division"
3735483;10185925;"division"
3735483;10185928;"division"
1122899;3025997;"division"
