id;bulletin_year;bulletin_nr;appln_auth;appln_nr;appln_date
10183891;2011;11;"EP";"20060101208";2006-02-02
10180542;2011;2;"EP";"20050000115";2005-01-05
10175975;2011;21;"WO";"2008EP63053";2008-09-30
10182928;2011;18;"WO";"2006GB02596";2006-07-13
12185033;2013;33;"WO";"2005DK00001";2005-01-06
11006221;2012;26;"DE";"201010335529";2010-08-05
9012812;2010;43;"WO";"2003DE00172";2003-01-23
13199423;2014;43;"WO";"2009JP06027";2009-11-11
16192322;2017;31;"WO";"2010EP60342";2010-07-16
13170515;2014;13;"WO";"2008US10223";2008-08-27
16468002;2017;12;"SI";"20150000219";2015-09-17
9164192;2009;45;"EP";"20050000275";2005-01-07
9154197;2010;40;"WO";"2004DK00195";2004-03-22
10188883;2011;25;"EP";"20080008488";2008-05-06
12006627;2013;14;"WO";"2004EP09486";2004-08-25
9162627;2010;11;"EP";"20050447237";2005-10-21
10183691;2012;9;"GB";"20000001536";2006-04-26
12005483;2013;24;"EP";"20050021796";2005-10-06
16192611;2017;22;"WO";"2013EP50369";2013-01-10
8169346;2010;20;"WO";"2003DK00172";2003-03-14
11075141;2012;32;"DE";"20111010929";2011-02-03
13170511;2014;9;"WO";"2008US10223";2008-08-27
10183692;2012;21;"WO";"2006GB01536";2006-04-26
16192612;2017;22;"WO";"2013EP50369";2013-01-10
