id;change_date;bulletin_year;bulletin_nr;is_latest;oppt_nr;customer_id;oppt_name;oppt_address_1;oppt_address_2;oppt_address_3;oppt_address_4;oppt_address_5;oppt_country;date_opp_filed;oppt_status;oppt_status_date;agent_name;agent_address_1;agent_address_2;agent_address_3;agent_address_4;agent_address_5;agent_country
102020;2010-10-08;2010;45;"N";1;"0101205519";"Gebauer & Griller Kabelwerke Gesellschaft m.b.H.";"";"";"";"";"";"AT";2010-10-06;"";9999-12-31;"Hehenberger, Reinhard, et al";"";"";"";"";"";"AT"
102020;2012-06-15;2012;29;"N";1;"0101205519";"Gebauer & Griller Kabelwerke Gesellschaft m.b.H.";"";"";"";"";"";"AT";2010-10-06;"WITHDRAWN";2012-05-31;"Hehenberger, Reinhard, et al";"";"";"";"";"";"AT"
102020;2013-04-26;2013;22;"Y";1;"0101205519";"Gebauer & Griller Kabelwerke Gesellschaft m.b.H.";"";"";"";"";"";"AT";2010-10-06;"WITHDRAWN";2012-05-31;"Beer & Partner Patentanwälte KG, et al";"";"";"";"";"";"AT"
104629;2004-08-27;0;0;"Y";1;"0100700068";"Baumüller Kamenz";"";"";"";"";"";"DE";2004-08-19;"";9999-12-31;"Götz, Georg Alois";"";"";"";"";"";"DE"
104629;2004-08-27;2004;42;"N";1;"0100700068";"Baumüller Kamenz";"";"";"";"";"";"DE";2004-08-19;"";9999-12-31;"Götz, Georg, Dipl.-Ing.";"";"";"";"";"";"DE"
113466;2009-03-27;2009;18;"N";1;"0101100478";"GMT Gummi-Metall-Technik GmbH";"";"";"";"";"";"DE";2009-03-20;"";9999-12-31;"Miller, Alexander";"";"";"";"";"";"DE"
113466;2009-04-03;0;0;"Y";1;"0101100478";"GMT Gummi-Metall-Technik GmbH";"";"";"";"";"";"DE";2009-03-20;"ADMISSIBLE";2009-03-30;"Miller, Alexander";"";"";"";"";"";"DE"
113466;2009-04-03;0;0;"Y";2;"0101067787";"Vestas Wind Systems A/S";"";"";"";"";"";"DK";2009-03-25;"ADMISSIBLE";2009-04-01;"Inspicos P/S, et al";"";"";"";"";"";"DK"
113466;2009-04-03;2009;19;"N";1;"0101100478";"GMT Gummi-Metall-Technik GmbH";"";"";"";"";"";"DE";2009-03-20;"ADMISSIBLE";2009-03-30;"Miller, Alexander";"";"";"";"";"";"DE"
113466;2009-04-03;2009;19;"N";2;"0101067787";"Vestas Wind Systems A/S";"";"";"";"";"";"DK";2009-03-25;"ADMISSIBLE";2009-04-01;"Inspicos A/S, et al";"";"";"";"";"";"DK"
116047;2005-07-08;2005;34;"N";1;"0100726605";"Openshaw, Paul Malcolm";"";"";"";"";"";"GB";2005-06-22;"";9999-12-31;"Openshaw, Paul Malcolm, et al";"";"";"";"";"";"GB"
