id;change_date;bulletin_year;bulletin_nr;text_lg;miscellaneous_text
84116003;1992-02-07;1992;13;"de";"EPB 1992/13: Teilanmeldung 90119306.0 eingereicht am 20/12/84"
84116003;1992-02-07;1992;13;"en";"EPB 1992/13: Divisional application 90119306.0 filed on 20/12/84"
84116003;1992-02-07;1992;13;"fr";"EPB 1992/13: Demande divisionnaire 90119306.0 déposée le 20/12/84"
82402010;1989-04-08;1989;21;"fr";"EPB 1989/21: Demande divisionnaire 87200617 déposée le 02.04.87"
86112487;1993-01-29;1993;11;"de";"EPB 1993/11: Teilanmeldung 92107691.5 eingereicht am 09/09/86"
90113121;1995-10-27;1995;50;"de";"EPB 1995/50: Teilanmeldung 94108911.2 eingereicht am 10/07/90"
86112487;1993-01-29;1993;11;"en";"EPB 1993/11: Divisional application 92107691.5 filed on 09/09/86"
90113121;1995-10-27;1995;50;"en";"EPB 1995/50: Divisional application 94108911.2 filed on 10/07/90"
86112487;1993-01-29;1993;11;"fr";"EPB 1993/11: Demande divisionnaire 92107691.5 déposée le 09/09/86"
90113121;1995-10-27;1995;50;"fr";"EPB 1995/50: Demande divisionnaire 94108911.2 déposée le 10/07/90"
87300653;1991-01-09;1991;9;"de";"EPB 1991/09: Teilanmeldung 90203256.4 eingereicht am 27/01/87"
87300653;1991-01-09;1991;9;"en";"EPB 1991/09: Divisional application 90203256.4 filed on 27/01/87"
87300653;1991-01-09;1991;9;"fr";"EPB 1991/09: Demande divisionnaire 90203256.4 déposée le 27/01/87"
89202445;1991-02-21;1991;15;"de";"EPB 1991/15: Verbunden mit 89910622.3/0389608 (europäische Anmeldenummer/Veröffentlichungsnummer) durch Entscheidung vom 27.02.91"
89202445;1991-02-21;1991;15;"en";"EPB 1991/15: Consolidated with 89910622.3/0389608 (European application No./publication No.) by decision dated 27.02.91"
89202445;1991-02-21;1991;15;"fr";"EPB 1991/15: Jointe à la demande no. 89910622.3/0389608 (numéro de dépôt/numéro de publication de la demande européenne) par décision du 27.02.91"
88108100;1992-08-07;1992;39;"de";"EPB 1992/39: Teilanmeldung 88108100.4 eingereicht am 20/05/88"
88108100;1992-08-07;1992;39;"en";"EPB 1992/39: Divisional application 88108100.4 filed on 20/05/88"
88108100;1992-08-07;1992;39;"fr";"EPB 1992/39: Demande divisionnaire 88108100.4 déposée le 20/05/88"
92310941;1996-08-23;1996;41;"de";"EPB 1996/41: Teilanmeldung 96104485.6 eingereicht am 21/03/96"
92310941;1996-08-23;1996;41;"en";"EPB 1996/41: Divisional application 96104485.6 filed on 21/03/96"
92310941;1996-08-23;1996;41;"fr";"EPB 1996/41: Demande divisionnaire 96104485.6 déposée le 21/03/96"
94912408;1996-08-30;1996;42;"de";"EPB 1996/42: Teilanmeldung 96112713.1 eingereicht am 07/08/96"
88117086;1991-02-13;1991;14;"de";"EPB 1991/14: Verbunden mit 88909092.4/0386037 (europäische Anmeldenummer/Veröffentlichungsnummer) durch Entscheidung vom 15.02.91"
94912408;1996-08-30;1996;42;"en";"EPB 1996/42: Divisional application 96112713.1 filed on 07/08/96"
88117086;1991-02-13;1991;14;"en";"EPB 1991/14: Consolidated with 88909092.4/0386037 (European application No./publication No.) by decision dated 15.02.91"
92920422;1996-10-25;1996;50;"de";"EPB 1996/50: Teilanmeldung 96202827.0 eingereicht am 10/10/96"
94912408;1996-08-30;1996;42;"fr";"EPB 1996/42: Demande divisionnaire 96112713.1 déposée le 07/08/96"
88117086;1991-02-13;1991;14;"fr";"EPB 1991/14: Jointe à la demande no. 88909092.4/0386037 (numéro de dépôt/numéro de publication de la demande européenne) par décision du 15.02.91"
92920422;1996-10-25;1996;50;"en";"EPB 1996/50: Divisional application 96202827.0 filed on 10/10/96"
92920422;1996-10-25;1996;50;"fr";"EPB 1996/50: Demande divisionnaire 96202827.0 déposée le 10/10/96"
94912408;1996-11-08;1996;52;"de";"EPB 1996/52: (deleted)"
94912408;1996-11-08;1996;52;"en";"EPB 1996/52: (deleted)"
94911961;1996-08-02;1996;38;"de";"EPB 1996/38: Teilanmeldung 96110727.3 eingereicht am 03/07/96"
94911961;1996-08-02;1996;38;"en";"EPB 1996/38: Divisional application 96110727.3 filed on 03/07/96"
94911961;1996-08-02;1996;38;"fr";"EPB 1996/38: Demande divisionnaire 96110727.3 déposée le 03/07/96"
91306057;1995-08-18;1995;40;"de";"EPB 1995/40: Teilanmeldung 93118570.6 eingereicht am 03/07/91"
90121216;1995-06-29;1995;33;"de";"EPB 1995/33: Teilanmeldung 95101254.1 eingereicht am 30/01/95"
88119987;1992-08-14;1992;40;"de";"EPB 1992/40: Teilanmeldung 91113847.7 eingereicht am 30/11/88"
90300815;1993-10-15;1993;48;"de";"EPB 1993/48: Teilanmeldung 93104665.0 eingereicht am 25/01/90"
89309069;1995-11-10;1995;52;"de";"EPB 1995/52: Teilanmeldung 95201374.6 eingereicht am 07/09/89"
83402560;1984-08-17;1984;42;"de";"EPB 1984/42: Ein Antrag nach Regel 88 EPÜ auf Berichtigung der Zeignungen wurde am 120384 eingereicht."
89202158;1995-10-13;1995;48;"de";"EPB 1995/48: Teilanmeldung 94201600.7 eingereicht am 25/08/89"
89910622;1991-02-21;1991;15;"de";"EPB 1991/15: Verfahren abgeschlossen infolge Verbindung mit 89202445.6/0364020 (europäische Anmeldenummer/Veröffentlichungsnummer) vom 27.02.91"
92101035;1992-06-12;1992;31;"en";"EPB 1992/31: Priority 230191 IT RM91000047"
94912408;1996-11-08;1996;52;"fr";"EPB 1996/52: (deleted)"
89312006;1991-12-19;1992;7;"de";"EPB 1992/07: Verbunden mit 89913015.7/0445168 (europäische Anmeldenummer/Veröffentlichungsnummer) durch Entscheidung vom 30.12.91"
88119987;1992-08-14;1992;40;"en";"EPB 1992/40: Divisional application 91113847.7 filed on 30/11/88"
88119987;1992-08-14;1992;40;"fr";"EPB 1992/40: Demande divisionnaire 91113847.7 déposée le 30/11/88"
89910622;1991-02-21;1991;15;"en";"EPB 1991/15: Proceedings concluded following consolidation with 89202445.6/0364020 (European application No./publication No.) by decision dated 27.02.91"
89312006;1991-12-19;1992;7;"en";"EPB 1992/07: Consolidated with 89913015.7/0445168 (European application No./publication No.) by decision dated 30.12.91"
89202158;1995-10-13;1995;48;"en";"EPB 1995/48: Divisional application 94201600.7 filed on 25/08/89"
89910622;1991-02-21;1991;15;"fr";"EPB 1991/15: Procédure close par suite de la jonction avec la demande no. 89202445.6/0364020 (numéro de dépôt/numéro de publication de la demande européenne) par décision du 27.02.91"
83402560;1984-08-17;1984;42;"en";"EPB 1984/42: A request pursuant to Rule 88 EPC for correcting the drawings has been filed on 120384"
90300815;1993-10-15;1993;48;"en";"EPB 1993/48: Divisional application 93104665.0 filed on 25/01/90"
89309069;1995-11-10;1995;52;"en";"EPB 1995/52: Divisional application 95201374.6 filed on 07/09/89"
90121216;1995-06-29;1995;33;"en";"EPB 1995/33: Divisional application 95101254.1 filed on 30/01/95"
90300815;1993-10-15;1993;48;"fr";"EPB 1993/48: Demande divisionnaire 93104665.0 déposée le 25/01/90"
89312006;1991-12-19;1992;7;"fr";"EPB 1992/07: Jointe à la demande no. 89913015.7/0445168 (numéro de dépôt/numéro de publication de la demande européenne) par décision du 30.12.91"
89309069;1995-11-10;1995;52;"fr";"EPB 1995/52: Demande divisionnaire 95201374.6 déposée le 07/09/89"
91306057;1995-08-18;1995;40;"en";"EPB 1995/40: Divisional application 93118570.6 filed on 03/07/91"
83402560;1984-08-17;1984;42;"fr";"EPB 1984/42: Une requête selon la Règle 88 CBE pour correction des dessins a été reçue en date du 120384"
91306057;1995-08-18;1995;40;"fr";"EPB 1995/40: Demande divisionnaire 93118570.6 déposée le 03/07/91"
90121216;1995-06-29;1995;33;"fr";"EPB 1995/33: Demande divisionnaire 95101254.1 déposée le 30/01/95"
89202158;1995-10-13;1995;48;"fr";"EPB 1995/48: Demande divisionnaire 94201600.7 déposée le 25/08/89"
89201565;1991-10-10;1991;48;"de";"EPB 1991/48: Verbunden mit 89906742.5/0377704 (europäische Anmeldenummer/Veröffentlichungsnummer) durch Entscheidung vom 14.10.91"
89201565;1991-10-10;1991;48;"en";"EPB 1991/48: Consolidated with 89906742.5/0377704 (European application No./publication No.) by decision dated 14.10.91"
89201565;1991-10-10;1991;48;"fr";"EPB 1991/48: Jointe à la demande no. 89906742.5/0377704 (numéro de dépôt/numéro de publication de la demande européenne) par décision du 14.10.91"
99949525;2001-08-31;2001;42;"de";"EPB 2001/42: Derzeit sind die WIPO-Publikationsdaten A3 nicht verfügbar."
99949525;2001-08-31;2001;42;"en";"EPB 2001/42: WIPO A3 publication data is not currently available."
99949525;2001-08-31;2001;42;"fr";"EPB 2001/42: L'OMPI données de publication A3 ne sont pas actuellement disponibles."
94109567;1996-07-26;1996;37;"de";"EPB 1996/37: Teilanmeldung 96110126.8 eingereicht am 22/06/96"
94109567;1996-07-26;1996;37;"en";"EPB 1996/37: Divisional application 96110126.8 filed on 22/06/96"
94109567;1996-07-26;1996;37;"fr";"EPB 1996/37: Demande divisionnaire 96110126.8 déposée le 22/06/96"
94109567;1997-03-07;1997;17;"de";"EPB 1997/17: (deleted)"
94109567;1997-03-07;1997;17;"en";"EPB 1997/17: (deleted)"
94109567;1997-03-07;1997;17;"fr";"EPB 1997/17: (deleted)"
10784654;2013-05-31;2013;27;"en";"EPB 2013/27: The applicant filed a text by which it is intended to bring the translation into conformity with the original text of the application (Art.14(2) EPC)."
89400766;1991-06-28;1991;34;"de";"EPB 1991/34: Verbunden mit 89903763.4/0408618 (europäische Anmeldenummer/Veröffentlichungsnummer) durch Entscheidung vom 03.07.91"
89400766;1991-06-28;1991;34;"en";"EPB 1991/34: Consolidated with 89903763.4/0408618 (European application No./publication No.) by decision dated 03.07.91"
89400766;1991-06-28;1991;34;"fr";"EPB 1991/34: Jointe à la demande no. 89903763.4/0408618 (numéro de dépôt/numéro de publication de la demande européenne) par décision du 03.07.91"
89903763;1991-06-28;1991;34;"de";"EPB 1991/34: Verfahren abgeschlossen infolge Verbindung mit 89400766.5/0334737 (europäische Anmeldenummer/Veröffentlichungsnummer) vom 03.07.91"
89903763;1991-06-28;1991;34;"en";"EPB 1991/34: Proceedings concluded following consolidation with 89400766.5/0334737 (European application No./publication No.) by decision dated 03.07.91"
89903763;1991-06-28;1991;34;"fr";"EPB 1991/34: Procédure close par suite de la jonction avec la demande no. 89400766.5/0334737 (numéro de dépôt/numéro de publication de la demande européenne) par décision du 03.07.91"
