event_code;event_text
"0008199PRIO";"Change - priority"
"0009015";"Publication of international search report"
"0008199DEST";"Change - designated states"
"0009121";"Application deemed to be withdrawn"
"0009199EXPT";"Change - extension states"
"0009320";"Request for conversion to national application"
"0009171";"Request for examination filed"
"0009264";"Opposition withdrawn"
"EPIDOS SFEE";"PCT data prior to European publication - payment of search fee"
"0009276";"Opposition procedure terminated - date of legal effect published"
"0009288";"Resumption"
"EPIDOS EXPT";"Change - extension states"
"EPIDOS IRAPE";"Interlocutory revision of appeal"
"EPIDOS PFEEDEST";"Period of grace (R.85a/R.108(3) EPC1973)"
"EPIDOSCORA9O";"Change: Despatch of minutes of oral proceedings"
"EPIDOSCOBA2E";"Change: Invitation to file observations in an appeal + time limit"
"EPIDOSCORA1NE";"Change: Date of oral proceedings"
"EPIDOS OBSO";"Observations of proprietor on opposition"
"EPIDOSCPFE2RFEE";"Change: Additional fee for renewal fee: despatch of communication + time limit"
"EPIDOSCREFNO";"Change: Appeal number"
"EPIDOSDDOB3";"Deletion: Reply by parties involved to observations of proprietor"
"EPIDOSDLIR2";"Deletion: Despatch of communication from examining division in limitation procedure + time limit"
"EPIDOSDEXP3";"Deletion: Withdrawal of extension state"
"EPIDOSNCDEC";"New entry: Request filed for correction of the decision to grant"
"EPIDOSDFFEE";"Deletion: PCT data prior to European publication - basic fee paid"
"EPIDOSDOPE2";"Deletion: Examination of admissibility of opposition: despatch of communication + time limit"
"EPIDOSDPFE4DEST";"Deletion: Period of grace R.85a / R.108(3) EPC 1973: fee payment"
"EPIDOSNNOA3O";"New entry: Date of receipt of statement of grounds of an appeal"
"EPIDOSNRDE3";"New entry: Request for decision: result"
"EPIDOSNREV1";"New entry: Despatch of communication that patent is revoked"
"0009161";"Documents discovered after search"
"0009199REES";"Change - request for re-establishment of rights"
"0008199FILL";"Change - filing language"
"0008299FREP";"Change - representative"
"0009016";"Supplementary search report"
"0009190";"Correction of patent application"
"0009299FILL";"Change - filing language"
"0008199APPR";"Change - applicant"
"0009184";"Decision - request for re-establishment of rights"
"0008299INVT";"Change - inventor"
"0009013";"Publication of search report"
"EPIDOS EXRE";"Examination report or reply"
"0008299DANR";"Change - divisional application(s)"
"0009084";"Definitive list of designations"
"EPIDOS ORALNE";"Change - oral proceedings"
"EPIDOSCRFP1";"Change: Receipt of request for further processing"
"0009312";"Resumption"
"EPIDOS REJO";"Opposition rejected"
"EPIDOSCNOA9O";"Change: Decision (+date) in appeal procedure"
"0009299DFIL";"Change - filing date"
"EPIDOS ABEX";"Amendment by applicant"
"EPIDOSCIGR1";"Change: Communication of intention to grant a patent"
"0008299OBSC";"Change - classification"
"0009199LMEX";"Change - Rights in Rem or Legal Means of Execution"
"0009261";"No opposition filed within time limit"
"EPIDOS NOAPO";"Change - appeal"
"EPIDOS RECO";"Request for conversion into a national application"
"0009185";"First examination report"
"0009245";"Request for limitation of patent allowed: despatch of communication"
"EPIDOSNEXRE";"New entry: Examination report or reply"
"EPIDOSNORA1NE";"New entry: Date of oral proceedings"
"EPIDOSCORA1NO";"Change: Date of oral proceedings"
"EPIDOSDPFE2FFEE";"Deletion: Period of grace R.85a / R.108(3) EPC 1973: despatch of communication + time limit"
"0008199DANR";"Change - divisional application(s)"
"0009299OBSC";"Change - classification"
"EPIDOS PCT";"PCT data prior to European publication"
"EPIDOS PMAP";"Communication/fee (R.58(5) EPC1973)"
"0008199TIFR";"Change - French title"
"0009199TEXT";"Change - miscellaneous"
"EPIDOSCLOP3";"Change: Loss of particular rights: legal effect"
"EPIDOSDORE3";"Deletion: Reply to examination report in opposition"
"EPIDOSNREFNO";"New entry: Appeal number"
"0009272";"Patent maintained (B2 publication)"
"0009273";"Opposition rejected"
"0009299PRIO";"Change - priority"
"0009199TIDE";"Change - German title"
"0009210";"(Expected) grant"
"0009299APPR";"Change - applicant"
"EPIDOSCFFEE";"Change: PCT data prior to European publication - basic fee paid"
"EPIDOSCRFE2";"Change: Renewal fee paid"
"0008199IPCL";"Change - classification"
"0008199PANR";"Change - earlier application"
"0009199RECO";"Change - request for conversion to a national application"
"EPIDOSCOBS2";"Change: Communication of a notice of opposition and request to file observations + time limit"
"0009299REVO";"Change - revocation of patent"
"EPIDOS AGRA";"Communication of intention to grant"
"EPIDOS TIPA";"Observations by third parties"
"EPIDOSCIDO1";"Change: Despatch of interlocutory decision"
"0008299PRIO";"Change - priority"
"0009199ADWI";"Change or deletion - application deemed withdrawn"
"EPIDOSNLIM1";"New entry: Request for limitation filed"
"EPIDOSNOBS3";"New entry: Reply of patent proprietor to notice(s) of opposition"
"EPIDOSDLOP3";"Deletion: Loss of particular rights: legal effect"
"EPIDOSNPFE4EXPT";"New entry: Period of grace R.85a EPC 1973: fee payment"
"0009182";"Withdrawal of application"
"0009199FREP";"Change - representative"
"0009199INVT";"Change - inventor"
"0009183";"Application deemed to be withdrawn"
"0009199VAPT";"Change: Validation states"
"0008199TIDE";"Change - German title"
"0009199REAP";"Change - name/address"
"0009260";"Opposition filed"
"EPIDOSNRFP4";"New entry: Decision on request for further processing"
"EPIDOSDORA9NE";"Deletion: Despatch of minutes of oral proceedings"
"EPIDOSNPAR2";"New entry: Invitation to provide information on prior art"
"0008199INVT";"Change - inventor"
"0009299REES";"Change - request for re-establishment of rights"
"0009287";"Interruption"
"0009299DEST";"Change - designated states"
"0009299LAPS";"Change - lapse in a contracting state"
"0008199PACT";"Change - PCT data"
"0009299EXAM";"Change - request for examination"
"0009299REAP";"Change - name/address"
"0009186";"Request for re-establishment of rights"
"0009299TIFR";"Change - French title"
"0008199OBSC";"Change - classification"
"0008299APPR";"Change - applicant"
"0009199EXAM";"Change - request for examination"
"0009012";"Publication in section I.1 EP Bulletin"
"0009199EPPU";"Change or deletion - publication of A document"
"0009199FILL";"Change - filing language"
